Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Goal_Contribution_90,Expected_Goal_Contribution_90,G_per_xG,Ast_per_xAG,Progressive_Actions_90,Goal_Involvement_Per_Match,Shot_Conversion_Rate,Expected_Assist_Efficiency,Pass_to_Goal_Efficiency,Total_Contribution_Index
Toti Gomes,pt POR,DF,Wolves,24,1999,35,31,2772,30.8,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,1.6,1.6,1.2,2.8,22.0,79.0,11.0,0.13,0.09,0.0042207792207792,0.0909090909090909,0.08125,0.4285714285714286,3.279220779220779,0.0037142857142857142,0.08125,0.015189873417721518,607.6923076923076,3.37012987012987
Joachim Andersen,dk DEN,DF,Crystal Palace,27,1996,38,38,3415,37.9,2.0,3.0,5.0,2.0,0.0,0.0,7.0,0.0,1.7,1.7,2.8,4.5,21.0,147.0,10.0,0.13,0.12,0.0034260614934114,0.1185944363103953,0.0764705882352941,0.6222222222222222,4.427525622254758,0.0034210526315789475,0.07647058823529412,0.019047619047619046,1130.7692307692307,4.546120058565154
Dan Burn,eng ENG,DF,Newcastle Utd,31,1992,33,32,2726,30.3,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,3.1,3.1,1.1,4.2,14.0,75.0,25.0,0.13,0.14,0.0042920029347028,0.1386647101980924,0.0419354838709677,0.2619047619047619,2.938371239911959,0.00393939393939394,0.041935483870967745,0.014666666666666668,576.9230769230769,3.077035950110051
Moisés Caicedo,ec ECU,MF,Chelsea,21,2001,35,33,2866,31.8,1.0,3.0,4.0,1.0,0.0,0.0,11.0,0.0,0.4,0.4,2.6,3.0,27.0,173.0,27.0,0.13,0.09,0.0040823447313328,0.0942079553384508,0.325,0.8666666666666667,6.280530355896721,0.0037142857142857142,0.325,0.015028901734104047,1330.7692307692307,6.374738311235171
Kyle Walker,eng ENG,DF,Manchester City,33,1990,32,30,2767,30.7,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,2.6,3.0,74.0,157.0,172.0,0.13,0.1,0.0042284062161185,0.0975786049873509,0.325,0.8666666666666667,7.513552584026022,0.0040625,0.325,0.016560509554140127,1207.6923076923076,7.611131189013372
Lewis Dunk,eng ENG,DF,Brighton,31,1991,33,33,2869,31.9,3.0,1.0,4.0,3.0,0.0,0.0,7.0,1.0,3.1,3.1,0.9,4.0,33.0,152.0,13.0,0.13,0.12,0.0040780759846636,0.1254792610665737,0.0419354838709677,0.225,5.803415824329035,0.00393939393939394,0.041935483870967745,0.0059210526315789476,1169.2307692307693,5.928895085395608
Saman Ghoddos,ir IRN,DF,Brentford,29,1993,19,7,739,8.2,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.3,0.3,1.1,1.4,22.0,36.0,31.0,0.12,0.17,0.0146143437077131,0.1705006765899865,0.4,0.7857142857142857,7.063599458728011,0.00631578947368421,0.4,0.030555555555555558,300.0,7.234100135317997
Vitaly Janelt,de GER,"MF,DF",Brentford,25,1998,38,37,3054,33.9,1.0,3.0,4.0,1.0,0.0,0.0,8.0,0.0,1.8,1.8,4.8,6.5,25.0,123.0,81.0,0.12,0.19,0.0035363457760314,0.1944990176817288,0.0666666666666666,0.7272727272727273,4.361493123772102,0.003157894736842105,0.06666666666666667,0.03902439024390244,1025.0,4.555992141453831
Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,22,2001,33,29,2329,25.9,2.0,1.0,3.0,2.0,0.0,0.0,7.0,0.0,3.3,3.3,2.4,5.6,67.0,99.0,99.0,0.12,0.22,0.0046371833404894,0.2202662086732503,0.0363636363636363,0.4210526315789474,6.414770287677115,0.0036363636363636364,0.03636363636363636,0.024242424242424242,825.0,6.635036496350365
Gabriel Magalhães,br BRA,DF,Arsenal,25,1997,36,34,3044,33.8,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,4.3,4.3,0.7,5.0,13.0,117.0,8.0,0.12,0.15,0.0035479632063074,0.1478318002628121,0.027906976744186,0.1399999999999999,3.843626806833114,0.003333333333333333,0.027906976744186046,0.0059829059829059825,975.0,3.991458607095926
Lewis Hall,eng ENG,DF,Newcastle Utd,18,2004,18,8,781,8.7,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,0.3,0.6,19.0,46.0,27.0,0.12,0.07,0.0138284250960307,0.0691421254801536,0.4,0.5,7.490396927016645,0.006666666666666666,0.4,0.006521739130434782,383.33333333333337,7.559539052496799
Micky van de Ven,nl NED,DF,Tottenham,22,2001,27,27,2339,26.0,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,0.6,0.6,0.0,0.6,19.0,108.0,9.0,0.12,0.02,0.004617357845233,0.023086789226165,0.2,0.0,4.886703719538264,0.0044444444444444444,0.2,0.0,900.0,0.0
Ben Chilwell,eng ENG,DF,Chelsea,26,1996,13,9,756,8.4,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.2,1.2,2.2,3.4,22.0,25.0,59.0,0.12,0.41,0.0142857142857142,0.4047619047619048,0.1,0.6470588235294118,5.595238095238095,0.00923076923076923,0.1,0.08800000000000001,208.33333333333334,6.0
Connor Roberts,wls WAL,DF,Burnley,27,1995,14,8,823,9.1,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.2,0.2,6.0,38.0,13.0,0.11,0.02,0.0120291616038882,0.0218712029161603,0.0,1.0,4.811664641555286,0.007857142857142858,0.0,0.005263157894736842,345.45454545454544,0.0
Ola Aina,ng NGA,DF,Nott'ham Forest,26,1996,22,20,1692,18.8,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.3,0.3,0.9,1.2,53.0,68.0,38.0,0.11,0.06,0.0058510638297872,0.0638297872340425,0.3666666666666667,0.75,6.436170212765958,0.005,0.3666666666666667,0.013235294117647059,618.1818181818181,6.500000000000001
